comment,sentimen
Kenapa pengangkatan CPNS 2024 malah diundur ? Bukannya dipercepat 🔥🔥🔥,positif
"TOLONG KAMI SUDAH TERTIB MENGIKUTI TIMELINE DENGAN RESIGN, KENAPA SK CPNS KAMI TERTUNDA TIDAK SESUAI TIMELINE? KAMI HARUS MAKAN APA TOLONG?",positif
"Ikut tes tahun lalu, di angkat tahun depan, tahun ini dianggap kami tidak makan😢",negatif
"MIN, BENER YA PEMERINTAH SUKSES PERCEPAT PENAMBAHAN PENGANGGURAN LEWAT PENUNDAAN JADWAL PENGANGKATAN CPNS ?",positif
"bisa bisanya menyetujui pengunduran CPNS dan P3K, kalian berpihak pada siapa",positif
"""REVISI KESIMPULAN RDP DRR-RI KOMISI II BERSAMA KEMENPARB DAN BKN PADA RABU 5 MARET 2025.
SELURUH CALON PPPK DAN CPNS TAHUN 2024 SEINDONESIA BERSATU DAN MENDORONG DPR-RI KOMISI II UNTUK :
MENDESAK : Kemenpanrb dan BKN agar segera mengangkat asn (PNS DAN PPPK) Tahun 2024 dalam kurun waktu 30 hari kerja sejak pengusulan NIP Dilakukan oleh instansi sesuai dengan Peraturan BKN NO 14 Tahun 2018 dan Peraturan BKN No 1 tahun 2019 #SAVECASN2024 #TOLAKKEBIJAKANTMTSERENTAK
#BATALKANPENGANGKATANMARET2026
#BATALKANPENGANGKATANOKTOBER2025""",positif
"Efisiensi tuh tunjangan, gaji, fasilitas2 para anggota DPR.",positif
bagaimana bisa lembaga membuat timeline yg disebarkan ke ribuan orang sehingga banyak ASN yg lolos sudah resign dari pekerjaannya karena berpatokan pada timeline itu lalu tiba-tiba pengangkatan dirubah menjadi oktober??? tolonglah yg profesional.,positif
"Ktny mw mengurangi pengangguran tpi ini suruh nunggu 6 bln, buat sebagian org ga bisa nunggu 6 bulan",negatif
#savecasn2024 #tolakkebijakantmtserentak,netral
APALAH FUNGSI JADWAL PELAKSANAAN SELEKSI CASN 🙏🏻,netral
kompetisi kritik yang membangun gada min??,negatif
KEREN BGT DAH NEGARA BIKIN SELEKSI SETAHUN SENDIRI 👏😭,positif
@novantoyudistira @allansprimaaulia ramadhan produktif 😁,positif
#savecpns2024 #tolaktmtserentak #tolakkebijakantmtserentak @komisi2_dpr @prabowo @gerindra @bkngoidofficial @kemenpanrb,netral
